Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-83.401,0
-0.09,-82.498,0
-0.08,-81.541,0
-0.07,-80.526,0
-0.06,-79.449,0
-0.05,-78.306,0
-0.04,-77.098,0
-0.03,-75.827,0
-0.02,-74.502,0
-0.01,-73.14,0
-0.0,-71.767,0
0.01,-70.41,0
0.02,-69.093,0
0.03,-67.836,0
0.04,-66.647,0
0.05,-65.53,0
0.06,-64.482,0
0.07,-63.5,0
0.08,-62.577,0
0.09,-61.708,0
0.1,-60.886,0
0.11,-60.108,0
0.12,-59.368,0
0.13,-58.662,0
0.14,-57.986,0
0.15,-57.339,0
0.16,-56.716,0
0.17,-56.117,0
0.18,-55.539,0
0.19,-54.98,0
0.2,-54.441,0
0.21,-53.919,0
0.22,-53.414,0
0.23,-52.924,0
0.24,-52.45,0
0.25,-51.989,0
0.26,-51.545,0
0.27,-51.112,0
0.28,-50.695,0
0.29,-50.289,1
