Parameter,Global_fit,Local_fit,Change
gna,208.92373196511787,208.92373196511787,0.0
gkht,107.92261035078967,107.92261035078967,0.0
gklt,14.318282425447691,14.318282425447691,0.0
gh,20.732797293023378,20.732797293023378,0.0
gka,114.59947527044795,114.59947527044795,0.0
gleak,8.555511697518389,8.555511697518389,0.0
stim_amp,0.11997045060757101,0.11997045060757101,0.0
cam,60.668372355199836,60.668372355199836,0.0
kam,0.03243315816770526,0.03243315816770526,0.0
cbm,6.385535056029244,6.385535056029244,0.0
kbm,-0.0394527728464145,-0.0394527728464145,0.0
