Stimulus (pA),Latency to Threshold (ms),Latency to Peak (ms)
-100,,
-80,,
-60,,
-40,,
-20,,
0,,
20,,
40,,
60,,
80,,
100,,
120,,
140,,
160,3.279999999951002,3.599999999950713
180,2.2799999999519116,2.6199999999516024
200,1.8399999999523118,2.1799999999520043
220,1.5599999999525664,1.9199999999522408
240,1.3599999999527483,1.7199999999524191
260,1.1999999999528939,1.5599999999525664
280,1.0599999999530194,1.4399999999526756
300,0.9399999999531303,1.3399999999527683
320,0.8399999999532195,1.2599999999528393
340,0.7399999999533122,1.179999999952912
360,0.6399999999534032,1.1199999999529684
380,0.5199999999535123,1.0599999999530194
