Mid_Current_nA,InputResistance_GOhm
-0.095,0.11
-0.08499999999999999,0.117
-0.07500000000000001,0.126
-0.065,0.136
-0.055,0.148
-0.045,0.161
-0.035,0.177
-0.025,0.195
-0.015,0.217
-0.005,0.249
0.005,0.308
0.015,0.636
0.025,-0.01
0.035,0.094
0.045,0.161
0.055,0.133
0.065,0.047
0.07500000000000001,0.121
0.08499999999999999,0.153
0.095,0.154
0.10500000000000001,0.054
0.11499999999999999,0.167
0.125,0.067
0.135,0.08
0.14500000000000002,0.153
0.155,0.087
0.165,0.078
0.175,0.097
0.185,0.084
0.195,0.081
0.20500000000000002,0.071
0.215,0.047
0.225,-0.013
0.235,0.022
0.245,0.022
0.255,0.021
0.265,0.021
0.275,0.02
0.28500000000000003,0.02
0.295,0.02
0.305,0.019
0.315,0.019
0.325,0.019
0.335,0.019
0.345,0.018
0.355,0.018
0.365,0.018
0.375,0.018
0.385,0.017
0.395,0.017
0.405,0.017
0.415,0.017
0.425,0.017
0.435,0.016
0.445,0.016
0.455,0.016
0.46499999999999997,0.016
0.475,0.016
0.485,0.016
