Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-83.817,0
-0.09,-82.72,0
-0.08,-81.547,0
-0.07,-80.286,0
-0.06,-78.925,0
-0.05,-77.448,0
-0.04,-75.837,0
-0.03,-74.071,0
-0.02,-72.122,0
-0.01,-69.947,0
-0.0,-67.455,0
0.01,-64.374,0
0.02,-58.012,8
0.03,-58.112,27
0.04,-57.173,37
0.05,-55.559,45
0.06,-54.225,52
0.07,-53.757,57
0.08,-52.546,62
0.09,-51.017,66
0.1,-49.478,70
0.11,-48.94,73
0.12,-47.269,76
0.13,-46.601,79
0.14,-45.806,81
0.15,-44.274,82
0.16,-43.4,84
0.17,-42.618,85
0.18,-41.653,85
0.19,-40.816,86
0.2,-40.003,85
0.21,-39.294,7
0.22,-38.82,5
0.23,-38.954,4
0.24,-38.731,4
0.25,-38.513,3
0.26,-38.3,3
0.27,-38.091,3
0.28,-37.886,2
0.29,-37.685,2
0.3,-37.488,2
0.31,-37.294,2
0.32,-37.103,2
0.33,-36.915,2
0.34,-36.729,2
0.35,-36.547,2
0.36,-36.367,1
0.37,-36.189,1
0.38,-36.013,1
0.39,-35.839,1
0.4,-35.668,1
0.41,-35.498,1
0.42,-35.331,1
0.43,-35.164,1
0.44,-35.0,1
0.45,-34.837,1
0.46,-34.676,1
0.47,-34.516,1
0.48,-34.357,1
0.49,-34.2,1
