SteadyStateVoltage,Current,Cell_ID
-0.0765543,-100,P9_TeNT_02132024_S1C1
-0.0756021,-90,
-0.0743811,-80,
-0.0732657,-70,
-0.0721927,-60,
-0.0708118,-50,
-0.0694844,-40,
-0.0676292,-30,
-0.0666207,-20,
-0.0651529,-10,
-0.0634538,0,
-0.061648,10,
-0.0599495,20,
-0.0579313,30,
-0.0560954,40,
-0.0544483,50,
-0.0522299,60,
-0.0508901,70,
-0.0489629,80,
-0.0475539,90,
-0.0463046,100,
-0.0446695,110,
-0.0418456,120,
