Parameter,Global_fit,Local_fit,Change
gna,301.13531964257504,301.13531964257504,0.0
gkht,171.88416098574083,171.88416098574083,0.0
gklt,4.37221212822282,4.37221212822282,0.0
gh,7.613769247621074,7.613769247621074,0.0
gka,81.7005389797555,81.7005389797555,0.0
gleak,14.288973512148361,14.288973512148361,0.0
stim_amp,0.09998703007709736,0.09998703007709736,0.0
cam,94.8036032921728,94.8036032921728,0.0
kam,0.029656028882215482,0.029656028882215482,0.0
cbm,8.85096616187549,8.85096616187549,0.0
kbm,-0.04793678989086629,-0.04793678989086629,0.0
