Mid_Current_nA,InputResistance_GOhm
-0.09,0.099
-0.07,0.113
-0.05,0.13
-0.03,0.151
-0.01,0.168
0.01,0.172
0.03,0.161
0.05,0.144
0.07,0.128
0.09,0.114
0.11,0.102
0.13,0.09
0.15000000000000002,0.078
0.16999999999999998,0.067
0.19,0.058
0.21000000000000002,0.051
0.22999999999999998,0.044
0.25,0.039
0.27,0.035
0.29000000000000004,0.032
0.31,0.029
0.33,0.027
0.35,0.025
0.37,0.024
