Mid_Current_nA,InputResistance_GOhm
-0.095,0.085
-0.08499999999999999,0.09
-0.07500000000000001,0.097
-0.065,0.104
-0.055,0.112
-0.045,0.122
-0.035,0.133
-0.025,0.145
-0.015,0.157
-0.005,0.17
0.005,0.179
0.015,0.183
0.025,0.181
0.035,0.173
0.045,0.162
0.055,0.151
0.065,0.14
0.07500000000000001,0.13
0.08499999999999999,0.122
0.095,0.114
0.10500000000000001,0.107
0.11499999999999999,0.101
0.125,0.096
0.135,0.091
0.14500000000000002,0.086
0.155,0.081
0.165,0.077
0.175,0.073
0.185,0.069
0.195,0.065
0.20500000000000002,0.061
0.215,0.058
0.225,0.055
0.235,0.052
0.245,0.049
0.255,0.047
0.265,0.045
0.275,0.042
0.28500000000000003,0.041
