Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-85.679,0
-0.09,-84.599,0
-0.08,-83.432,0
-0.07,-82.164,0
-0.06,-80.775,0
-0.05,-79.241,0
-0.04,-77.537,0
-0.03,-75.63,0
-0.02,-73.486,0
-0.01,-71.082,0
-0.0,-68.417,0
0.01,-65.512,0
0.02,-62.368,0
0.03,-58.903,0
0.04,-55.003,0
0.05,-51.331,0
0.06,-57.364,27
0.07,-57.388,40
0.08,-56.514,46
0.09,-56.039,51
0.1,-56.739,56
0.11,-55.659,60
0.12,-54.581,64
0.13,-54.838,67
0.14,-54.68,71
0.15,-53.514,74
0.16,-53.224,77
0.17,-52.673,80
0.18,-51.453,82
0.19,-51.301,85
0.2,-50.874,87
0.21,-50.003,90
0.22,-48.983,92
0.23,-48.362,94
0.24,-48.345,96
0.25,-47.651,98
0.26,-46.969,99
0.27,-46.38,101
0.28,-45.679,102
0.29,-45.076,104
0.3,-43.994,105
0.31,-43.268,106
0.32,-42.752,107
0.33,-42.251,108
0.34,-41.38,109
0.35,-40.21,109
0.36,-39.352,109
0.37,-38.521,109
0.38,-34.827,20
0.39,-34.623,10
0.4,-34.422,8
0.41,-34.225,6
0.42,-34.031,5
0.43,-33.84,5
0.44,-33.652,4
0.45,-33.467,4
0.46,-33.284,4
0.47,-33.104,3
0.48,-32.927,3
0.49,-32.752,3
