Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-85.676,0
-0.09,-84.595,0
-0.08,-83.427,0
-0.07,-82.155,0
-0.06,-80.762,0
-0.05,-79.222,0
-0.04,-77.506,0
-0.03,-75.578,0
-0.02,-73.398,0
-0.01,-70.926,0
-0.0,-68.132,0
0.01,-64.975,0
0.02,-61.298,0
0.03,-56.349,0
0.04,-53.415,9
0.05,-57.559,31
0.06,-57.982,38
0.07,-57.974,44
0.08,-57.621,49
0.09,-57.125,54
0.1,-56.618,58
0.11,-56.18,62
0.12,-55.755,66
0.13,-54.51,69
0.14,-54.493,72
0.15,-53.686,75
0.16,-53.362,78
0.17,-52.809,81
0.18,-52.133,84
0.19,-51.47,86
0.2,-50.751,89
0.21,-50.6,91
0.22,-50.392,93
0.23,-49.27,95
0.24,-48.864,97
0.25,-47.907,99
0.26,-47.296,101
0.27,-46.898,103
0.28,-46.082,104
0.29,-46.115,106
0.3,-44.878,107
0.31,-44.348,109
0.32,-43.882,110
0.33,-43.329,111
0.34,-42.203,112
0.35,-41.203,113
0.36,-40.951,113
0.37,-39.787,114
0.38,-38.975,114
0.39,-37.965,114
0.4,-37.098,113
0.41,-33.054,17
0.42,-32.865,10
0.43,-32.678,8
0.44,-32.494,7
0.45,-32.313,6
0.46,-32.134,5
0.47,-31.958,5
0.48,-31.783,4
0.49,-31.611,4
