Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-85.317,0
-0.09,-84.365,0
-0.08,-83.346,0
-0.07,-82.25,0
-0.06,-81.067,0
-0.05,-79.785,0
-0.04,-78.393,0
-0.03,-76.881,0
-0.02,-75.245,0
-0.01,-73.499,0
-0.0,-71.675,0
0.01,-69.832,0
0.02,-68.036,0
0.03,-66.334,0
0.04,-64.749,0
0.05,-63.281,0
0.06,-61.922,0
0.07,-60.66,0
0.08,-59.48,0
0.09,-58.37,0
0.1,-57.319,0
0.11,-56.32,0
0.12,-55.367,0
0.13,-54.453,0
0.14,-53.577,0
0.15,-52.735,0
0.16,-51.928,0
0.17,-51.157,0
0.18,-50.421,0
0.19,-49.719,0
0.2,-49.053,1
0.21,-48.423,1
0.22,-47.826,1
0.23,-47.263,1
0.24,-46.731,1
0.25,-46.229,1
0.26,-45.754,1
0.27,-45.304,1
0.28,-44.877,1
0.29,-44.472,1
