Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-85.677,0
-0.09,-84.597,0
-0.08,-83.43,0
-0.07,-82.162,0
-0.06,-80.774,0
-0.05,-79.244,0
-0.04,-77.547,0
-0.03,-75.652,0
-0.02,-73.534,0
-0.01,-71.179,0
-0.0,-68.602,0
0.01,-65.843,0
0.02,-62.933,0
0.03,-59.846,0
0.04,-56.505,0
0.05,-53.068,0
0.06,-50.302,0
0.07,-56.336,29
0.08,-57.116,46
0.09,-55.385,51
0.1,-55.234,56
0.11,-55.208,61
0.12,-54.17,65
0.13,-53.603,69
0.14,-53.205,72
0.15,-52.905,76
0.16,-51.961,79
0.17,-50.915,82
0.18,-50.591,84
0.19,-49.711,87
0.2,-49.181,89
0.21,-48.591,91
0.22,-48.28,93
0.23,-46.99,95
0.24,-46.376,97
0.25,-45.92,99
0.26,-44.625,100
0.27,-43.865,101
0.28,-43.256,102
0.29,-42.356,103
0.3,-41.732,104
0.31,-40.388,104
0.32,-39.588,104
0.33,-38.657,103
0.34,-36.271,22
0.35,-36.047,12
0.36,-35.828,9
0.37,-35.614,8
0.38,-35.403,7
0.39,-35.196,6
0.4,-34.993,5
0.41,-34.793,5
0.42,-34.596,5
0.43,-34.402,4
0.44,-34.212,4
0.45,-34.023,4
0.46,-33.838,3
0.47,-33.655,3
0.48,-33.475,3
0.49,-33.297,3
