Mid_Current_nA,InputResistance_GOhm
-0.095,0.108
-0.08499999999999999,0.115
-0.07500000000000001,0.123
-0.065,0.132
-0.055,0.141
-0.045,0.151
-0.035,0.162
-0.025,0.171
-0.015,0.179
-0.005,0.184
0.005,0.187
0.015,0.186
0.025,0.184
0.035,0.179
0.045,0.174
0.055,0.167
0.065,0.16
0.07500000000000001,0.151
0.08499999999999999,0.141
0.095,0.13
0.10500000000000001,0.118
0.11499999999999999,0.106
0.125,0.095
0.135,0.085
0.14500000000000002,0.077
0.155,0.07
0.165,0.064
0.175,0.059
0.185,0.054
0.195,0.051
0.20500000000000002,0.048
0.215,0.045
0.225,0.042
0.235,0.04
0.245,0.038
0.255,0.037
0.265,0.035
0.275,0.034
0.28500000000000003,0.033
0.295,0.031
0.305,0.03
0.315,0.029
0.325,0.029
0.335,0.028
0.345,0.027
0.355,0.026
0.365,0.026
0.375,0.025
0.385,0.025
0.395,0.024
0.405,0.024
0.415,0.023
0.425,0.023
0.435,0.022
0.445,0.022
0.455,0.022
0.46499999999999997,0.021
0.475,0.021
0.485,0.021
