Mid_Current_nA,InputResistance_GOhm
-0.095,0.091
-0.08499999999999999,0.096
-0.07500000000000001,0.103
-0.065,0.109
-0.055,0.116
-0.045,0.123
-0.035,0.131
-0.025,0.137
-0.015,0.142
-0.005,0.144
0.005,0.144
0.015,0.14
0.025,0.135
0.035,0.128
0.045,0.12
0.055,0.114
0.065,0.107
0.07500000000000001,0.101
0.08499999999999999,0.096
0.095,0.091
0.10500000000000001,0.087
0.11499999999999999,0.083
0.125,0.079
0.135,0.076
0.14500000000000002,0.074
0.155,0.071
0.165,0.069
0.175,0.066
0.185,0.064
0.195,0.062
0.20500000000000002,0.06
0.215,0.058
0.225,0.055
0.235,0.053
0.245,0.051
0.255,0.049
0.265,0.047
0.275,0.045
0.28500000000000003,0.043
