Stimulus (pA),Latency to Threshold (ms),Latency to Peak (ms)
-100,,
-80,,
-60,,
-40,,
-20,,
0,,
20,,
40,26.159999999930193,26.599999999929793
60,6.299999999948255,6.7199999999478734
80,3.6399999999506765,4.059999999950293
100,2.639999999951584,3.059999999951202
120,2.0799999999520935,2.4999999999517115
140,1.7199999999524191,2.1599999999520207
160,1.4599999999526556,1.8999999999522554
180,1.2799999999528193,1.7199999999524191
200,1.1199999999529684,1.5799999999525483
220,0.979999999953094,1.4599999999526556
240,0.8799999999531831,1.3599999999527483
260,0.7799999999532758,1.2799999999528193
280,0.6799999999533686,1.1999999999528939
300,0.5799999999534577,1.1399999999529484
320,0.5199999999535123,1.0799999999530048
340,0.5199999999535123,1.0399999999530394
360,0.5199999999535123,0.9999999999530758
380,0.5199999999535123,0.9599999999531121
